04
TIME     AIRT    SOLAR     WIND    HUMID    CLOUD     LWIR   WINDIR
0920   20.100  440.000    1.781   66.667    2.000    0.000  159.048
0925   20.100  450.000    1.768   66.583    1.000    0.000  132.552
0930   20.400  462.000    1.758   66.500    1.000    0.000  125.352
0935   20.300  480.000    1.749   66.417    1.000    0.000  172.008
0940   20.400  510.000    1.740   66.333    1.000    0.000  160.344
0945   20.300  520.000    1.733   66.250    1.000    0.000  163.368
0950   20.400  526.000    1.727   66.167    1.000    0.000  169.992
0955   20.200  542.000    1.718   66.083    1.000    0.000  169.272
1000   20.300  554.000    1.713   66.000    1.000    0.000  167.328
1005   20.800  564.000    1.713   66.083    1.000    0.000  159.984
1010   20.600  578.000    1.715   66.167    1.000    0.000  124.344
1015   20.800  590.000    1.718   66.250    1.000    0.000  170.208
1020   20.400  600.000    1.721   66.333    1.000    0.000  154.944
1025   20.600  606.000    1.723   66.417    0.000    0.000  168.264
1030   20.400  624.000    1.727   66.500    0.000    0.000  169.920
1035   20.600  632.000    1.728   66.583    0.000    0.000  175.824
1040   20.600  644.000    1.731   66.667    0.000    0.000  174.888
1045   21.200  650.000    1.733   66.750    0.000    0.000  186.840
1050   20.700  658.000    1.739   66.833    0.000    0.000  192.816
1055   21.200  672.000    1.746   66.917    0.000    0.000  163.440
1100   20.400  690.000    1.752   67.000    0.000    0.000  158.688
1105   21.100  700.000    1.759   66.917    0.000    0.000  171.936
1110   21.100  708.000    1.766   66.833    0.000    0.000  198.792
1115   21.600  710.000    1.774   66.750    0.000    0.000  192.672
1120   21.400  722.000    1.776   66.667    0.000    0.000  159.552
1125   21.800  734.000    1.780   66.583    0.000    0.000  211.824
1130   21.200  740.000    1.787   66.500    0.000    0.000  170.352
1135   20.700  748.000    1.793   66.417    0.000    0.000  188.856
1140   21.400  762.000    1.798   66.333    0.000    0.000  203.760
1145   21.300  770.000    1.799   66.250    0.000    0.000  186.912
1150   21.500  772.000    1.796   66.167    0.000    0.000  155.232
1155   21.100  782.000    1.792   66.083    0.000    0.000  207.144
1200   21.500  790.000    1.781   66.000    0.000    0.000  201.384
1205   21.000  798.000    1.774   65.750    0.000    0.000  176.976
1210   21.700  802.000    1.771   65.500    0.000    0.000  189.216
1215   21.200  810.000    1.774   65.250    0.000    0.000  176.472
1220   21.300  820.000    1.775   65.000    0.000    0.000  152.496
1225   22.400  824.000    1.773   64.750    0.000    0.000  210.888
1230   21.500  830.000    1.770   64.500    0.000    0.000  190.584
1235   21.600  834.000    1.770   64.250    0.000    0.000  188.280
1240   21.900  840.000    1.770   64.000    0.000    0.000  219.600
1245   22.100  844.000    1.773   63.750    0.000    0.000  192.960
1250   21.800  848.000    1.775   63.500    0.000    0.000  153.576
1255   22.200  850.000    1.780   63.250    0.000    0.000  157.536
1300   22.200  850.000    1.784   63.000    0.000    0.000  161.136
1305   21.900  856.000    1.781   63.167    0.000    0.000  148.248
1310   21.800  862.000    1.781   63.333    0.000    0.000  184.176
1315   21.700  868.000    1.778   63.500    0.000    0.000  167.544
1320   21.800  872.000    1.779   63.667    0.000    0.000  172.584
1325   22.200  874.000    1.777   63.833    0.000    0.000  163.656
1330   21.900  876.000    1.774   64.000    0.000    0.000  189.936
1335   22.300  880.000    1.769   64.167    0.000    0.000  168.408
1340   22.400  880.000    1.764   64.333    0.000    0.000  163.728
1345   23.100  880.000    1.758   64.500    0.000    0.000  198.936
1350   22.800  880.000    1.754   64.667    0.000    0.000  170.928
1355   22.500  880.000    1.752   64.833    0.000    0.000  167.544
1400   22.700  880.000    1.751   65.000    0.000    0.000  171.072
1405   23.100  880.000    1.747   65.833    0.000    0.000  186.192
1410   22.800  880.000    1.745   66.667    0.000    0.000  153.792
1415   23.300  880.000    1.737   67.500    0.000    0.000  198.288
1420   22.900  880.000    1.731   68.333    0.000    0.000  147.168
1425   22.900  878.000    1.726   69.167    0.000    0.000  143.136
1430   23.900  874.000    1.719   70.000    0.000    0.000  139.464
1435   23.800  866.000    1.710   70.833    0.000    0.000  151.920
1440   23.600  860.000    1.702   71.667    0.000    0.000  201.744
1445   23.500  860.000    1.692   72.500    0.000    0.000  166.104
1450   23.400  860.000    1.677   73.333    0.000    0.000  189.072
1455   23.000  852.000    1.663   74.167    0.000    0.000  191.520
1500   23.300  850.000    1.647   75.000    0.000    0.000  196.344
1505   23.600  850.000    1.633   73.833    0.000    0.000  157.032
1510   23.800  842.000    1.623   72.667    0.000    0.000  227.088
1515   22.900  838.000    1.616   71.500    0.000    0.000  163.800
1520   23.300  832.000    1.608   70.333    0.000    0.000  188.784
1525   23.300  828.000    1.603   69.167    0.000    0.000  144.936
1530   23.700  820.000    1.599   68.000    0.000    0.000  166.032
1535   23.200  814.000    1.591   66.833    0.000    0.000  175.896
1540   23.300  808.000    1.581   65.667    0.000    0.000  162.648
1545   23.800  802.000    1.572   64.500    0.000    0.000  199.008
1550   23.700  798.000    1.564   63.333    0.000    0.000  190.584
1555   23.900  788.000    1.555   62.167    0.000    0.000  190.368
1600   23.700  780.000    1.545   61.000    0.000    0.000  164.880
1605   24.000  772.000    1.534   59.000    0.000    0.000  186.984
1610   23.800  766.000    1.520   57.000    0.000    0.000  176.328
1615   24.100  758.000    1.503   55.000    0.000    0.000  176.472
1620   24.200  750.000    1.486   53.000    0.000    0.000  156.672
1625   24.200  744.000    1.469   51.000    0.000    0.000  187.560
1630   24.300  738.000    1.456   49.000    0.000    0.000  218.592
1635   24.700  714.000    1.441   47.000    0.000    0.000  154.944
1640   24.400  708.000    1.427   45.000    0.000    0.000  158.256
1645   24.400  700.000    1.410   43.000    0.000    0.000  151.488
1650   24.600  692.000    1.395   41.000    0.000    0.000  192.240
1655   24.800  684.000    1.379   39.000    0.000    0.000  220.176
1700   25.000  674.000    1.365   37.000    0.000    0.000  156.744
1705   24.400  662.000    1.351   37.083    0.000    0.000  193.032
1710   24.000  650.000    1.341   37.167    0.000    0.000  183.456
1715   24.000  640.000    1.328   37.250    0.000    0.000  163.080
1720   24.600  626.000    1.311   37.333    0.000    0.000  164.232
1725   24.300  618.000    1.294   37.417    0.000    0.000  177.480
1730   24.400  604.000    1.279   37.500    0.000    0.000  173.592
1735   24.200  594.000    1.260   37.583    0.000    0.000  215.928
1740   24.700  582.000    1.241   37.667    0.000    0.000  139.176
1745   24.700  568.000    1.219   37.750    0.000    0.000  184.608
1750   24.800  552.000    1.195   37.833    0.000    0.000  180.360
1755   24.600  542.000    1.169   37.917    0.000    0.000  194.112
1800   24.400  530.000    1.143   38.000    0.000    0.000  196.344
1805   24.200  516.000    1.113   38.417    0.000    0.000  194.256
1810   25.100  502.000    1.087   38.833    0.000    0.000  179.784
1815   24.300  488.000    1.063   39.250    0.000    0.000  176.976
1820   24.300  474.000    1.039   39.667    0.000    0.000  168.840
1825   24.700  460.000    1.015   40.083    0.000    0.000  204.768
1830   24.400  444.000    0.990   40.500    0.000    0.000  201.168
1835   24.100  434.000    0.963   40.917    0.000    0.000  223.200
1840   23.900  418.000    0.934   41.333    0.000    0.000  185.760
1845   23.800  400.000    0.905   41.750    0.000    0.000  201.528
1850   23.700  386.000    0.877   42.167    0.000    0.000  178.632
1855   23.900  374.000    0.849   42.583    0.000    0.000  190.152
1900   23.900  358.000    0.821   43.000    0.000    0.000  209.448
1905   23.900  344.000    0.794   43.000    0.000    0.000  164.952
1910   23.900  328.000    0.766   43.000    0.000    0.000  178.200
1915   23.700  316.000    0.738   43.000    0.000    0.000  212.472
1920   23.300  300.000    0.711   43.000    0.000    0.000  199.440
1925   23.600  286.000    0.686   43.000    0.000    0.000  181.080
1930   23.400  272.000    0.663   43.000    0.000    0.000  183.960
1935   23.300  260.000    0.644   43.000    0.000    0.000  140.904
1940   23.700  240.000    0.625   43.000    0.000    0.000  181.224
1945   23.400  230.000    0.605   43.000    0.000    0.000  167.544
1950   23.400  216.000    0.586   43.000    0.000    0.000  204.912
1955   23.000  202.000    0.567   43.000    0.000    0.000  186.768
2000   22.400  184.000    0.547   43.000    0.000    0.000  198.648
2005   22.000  176.000    0.529   44.167    0.000    0.000  216.360
2010   21.900  168.000    0.510   45.333    0.000    0.000  141.912
2015   21.800  154.000    0.490   46.500    0.000    0.000  186.768
2020   21.600  144.000    0.471   47.667    0.000    0.000  207.288
2025   21.500  126.000    0.450   48.833    1.000    0.000  236.736
2030   21.400  120.000    0.429   50.000    1.000    0.000  174.024
2035   21.400  104.000    0.407   51.167    1.000    0.000  190.728
2040   21.300   84.000    0.386   52.333    1.000    0.000  191.016
2045   20.900   78.000    0.365   53.500    1.000    0.000  176.472
2050   20.700   66.000    0.346   54.667    1.000    0.000  180.432
2055   20.100   54.000    0.327   55.833    1.000    0.000  185.184
2100   19.800   46.000    0.308   57.000    1.000    0.000  186.768
2105   19.100   36.000    0.292   57.259    1.000    0.000  183.816
2110   18.400   24.000    0.277   57.519    1.000    0.000  186.768
2115   17.200   20.000    0.263   57.778    1.000    0.000  166.464
2120   16.400   18.000    0.253   58.037    1.000    0.000  178.056
2125   16.000   16.000    0.243   58.296    1.000    0.000  182.880
2130   15.500   10.000    0.235   58.556    1.000    0.000  174.024
2135   15.000   10.000    0.229   58.815    1.000    0.000  167.832
2140   14.800   10.000    0.224   59.074    1.000    0.000  167.328
2145   14.600    6.000    0.219   59.333    1.000    0.000  161.352
2150   14.400    6.000    0.215   59.593    1.000    0.000  134.568
2155   14.300    8.000    0.212   59.852    1.000    0.000  119.088
2200   13.900    0.000    0.209   60.111    1.000    0.000  119.088
2205   13.900    2.000    0.207   60.370    1.000    0.000  119.880
2210   13.800    0.000    0.207   60.630    1.000    0.000  119.664
2215   13.500    0.000    0.206   60.889    1.000    0.000  135.576
2220   13.400    0.000    0.205   61.148    1.000    0.000  122.616
2225   13.500    2.000    0.204   61.407    1.000    0.000  123.624
2230   13.600    2.000    0.205   61.667    1.000    0.000  123.624
2235   13.400    2.000    0.206   61.926    1.000    0.000  123.192
2240   13.400    0.000    0.207   62.185    1.000    0.000  122.616
2245   13.400    0.000    0.208   62.444    1.000    0.000  122.832
2250   13.500    4.000    0.210   62.704    1.000    0.000  129.024
2255   13.500    2.000    0.212   62.963    1.000    0.000  120.888
2300   13.400    0.000    0.213   63.222    1.000    0.000  120.888
2305   13.500    0.000    0.215   63.481    1.000    0.000  138.888
2310   13.400    0.000    0.217   63.741    1.000    0.000  138.456
2315   13.400    4.000    0.219   64.000    1.000    0.000  139.752
2320   13.300    0.000    0.222   64.259    1.000    0.000  139.968
2325   13.200    2.000    0.224   64.519    1.000    0.000  138.960
2330   13.300    0.000    0.225   64.778    1.000    0.000  141.696
2335   13.200    2.000    0.227   65.037    1.000    0.000  121.608
2340   13.200    0.000    0.229   65.296    1.000    0.000  126.000
2345   13.000    0.000    0.231   65.556    1.000    0.000  146.880
2350   13.100    0.000    0.235   65.815    1.000    0.000  146.016
2355   13.000    0.000    0.239   66.074    1.000    0.000  146.880
0000   13.100    0.000    0.244   66.333    1.000    0.000  155.448
0004   13.100    2.000    0.249   66.541    1.000    0.000  149.616
0009   13.300    0.000    0.254   66.800    1.000    0.000  158.472
0014   13.200    0.000    0.261   67.059    1.000    0.000  154.512
0019   13.300    0.000    0.267   67.319    1.000    0.000  176.760
0024   13.700    0.000    0.275   67.578    1.000    0.000  166.968
0029   14.300    0.000    0.282   67.837    1.000    0.000  172.584
0034   14.400    4.000    0.290   68.096    1.000    0.000  175.752
0039   14.600    0.000    0.297   68.356    1.000    0.000  180.648
0044   14.600    0.000    0.305   68.615    1.000    0.000  176.976
0049   14.700    0.000    0.312   68.874    1.000    0.000  184.248
0054   14.600    0.000    0.320   69.133    1.000    0.000  180.144
0059   14.800    0.000    0.328   69.393    0.000    0.000  183.600
0104   14.500    0.000    0.336   69.652    0.000    0.000  177.192
0109   14.500    0.000    0.342   69.911    0.000    0.000  170.208
0114   14.200    2.000    0.350   70.170    0.000    0.000  187.488
0119   14.600    2.000    0.358   70.430    0.000    0.000  191.664
0124   14.500    0.000    0.367   70.689    0.000    0.000  225.792
0129   14.400    0.000    0.378   70.948    0.000    0.000  214.848
0134   13.900    0.000    0.388   71.207    0.000    0.000  187.704
0139   14.600    0.000    0.399   71.467    0.000    0.000  188.208
0144   14.600    0.000    0.411   71.726    0.000    0.000  182.808
0149   14.600    0.000    0.424   71.985    0.000    0.000  182.880
0154   14.800    0.000    0.436   72.244    0.000    0.000  190.080
0159   14.800    0.000    0.449   72.504    0.000    0.000  206.424
0204   14.900    0.000    0.463   72.763    0.000    0.000  187.200
0209   14.800    0.000    0.476   73.022    0.000    0.000  206.784
0214   14.800    4.000    0.488   73.281    0.000    0.000  195.336
0219   14.600    0.000    0.498   73.541    0.000    0.000  193.248
0224   14.200    0.000    0.509   73.800    0.000    0.000  193.896
0229   13.800    0.000    0.520   74.059    0.000    0.000  159.768
0234   13.300    2.000    0.529   74.319    0.000    0.000  167.760
0239   13.300    0.000    0.537   74.578    0.000    0.000  178.128
0244   13.200    2.000    0.543   74.837    0.000    0.000  168.768
0249   13.300    0.000    0.550   75.096    0.000    0.000  173.160
0254   13.600    4.000    0.557   75.356    0.000    0.000  165.024
0259   13.800    0.000    0.564   75.615    0.000    0.000  175.752
0304   13.900    0.000    0.571   75.874    0.000    0.000  188.640
0309   13.300    0.000    0.578   76.133    0.000    0.000  201.168
0314   13.300    0.000    0.583   76.393    0.000    0.000  179.136
0319   13.300    0.000    0.587   76.652    0.000    0.000  179.784
0324   13.000    4.000    0.590   76.911    0.000    0.000  162.072
0329   13.300    0.000    0.594   77.170    0.000    0.000  175.248
0334   13.300    0.000    0.600   77.430    0.000    0.000  187.272
0339   13.200    0.000    0.605   77.689    0.000    0.000  169.632
0344   13.300    0.000    0.609   77.948    0.000    0.000  191.304
0349   13.900    0.000    0.612   78.207    0.000    0.000  193.392
0354   13.900    0.000    0.615   78.467    0.000    0.000  194.688
0359   14.100    0.000    0.618   78.726    0.000    0.000  207.648
0404   13.800    0.000    0.622   78.985    0.000    0.000  191.880
0409   13.200    2.000    0.625   79.244    0.000    0.000  182.304
0414   12.600    0.000    0.629   79.504    0.000    0.000  192.168
0419   12.600    0.000    0.633   79.763    0.000    0.000  194.040
0424   12.400    0.000    0.636   80.022    0.000    0.000  180.144
0429   12.300    0.000    0.637   80.281    0.000    0.000  181.728
0434   12.200    0.000    0.640   80.541    0.000    0.000  170.928
0439   12.100    4.000    0.641   80.800    0.000    0.000  190.728
0444   12.100    0.000    0.642   81.059    0.000    0.000  191.016
0449   12.400    0.000    0.640   81.318    0.000    0.000  189.360
0454   12.300    0.000    0.638   81.578    0.000    0.000  183.384
0459   11.700    0.000    0.634   81.837    0.000    0.000  187.560
0504   11.700    0.000    0.631   82.096    0.000    0.000  183.816
0509   12.000    0.000    0.627   82.356    0.000    0.000  184.464
0514   12.400    0.000    0.623   82.615    0.000    0.000  179.352
0519   12.300    0.000    0.618   82.874    0.000    0.000  190.800
0524   11.800    0.000    0.612   83.133    0.000    0.000  179.856
0529   11.900    0.000    0.607   83.393    0.000    0.000  180.576
0534   12.100    0.000    0.603   83.652    0.000    0.000  169.632
0539   12.000    0.000    0.601   83.911    0.000    0.000  168.984
0544   11.900    4.000    0.602   84.170    0.000    0.000  174.024
0549   11.900    2.000    0.604   84.430    0.000    0.000  166.752
0554   12.200    4.000    0.607   84.689    0.000    0.000  163.656
0559   12.300    2.000    0.612   84.948    0.000    0.000  164.016
0604   12.300    0.000    0.618   85.207    0.000    0.000  165.384
0609   12.300   10.000    0.626   85.467    0.000    0.000  166.392
0614   12.200   10.000    0.637   85.726    0.000    0.000  169.272
0619   12.300   10.000    0.646   85.985    0.000    0.000  162.792
0624   12.300   10.000    0.655   86.244    0.000    0.000  167.112
0629   12.200   12.000    0.664   86.504    0.000    0.000  168.048
0634   12.200   18.000    0.674   86.763    0.000    0.000  182.160
0639   12.100   20.000    0.682   87.022    0.000    0.000  174.816
0644   12.800   26.000    0.690   87.281    0.000    0.000  166.824
0649   13.000   48.000    0.700   87.541    0.000    0.000  181.728
0654   13.200   60.000    0.709   87.800    0.000    0.000  176.616
0659   13.600   68.000    0.719   88.059    0.000    0.000  177.264
0704   13.900   82.000    0.730   88.318    0.000    0.000  166.608
0709   14.300   96.000    0.739   88.578    0.000    0.000  165.600
0714   14.300  106.000    0.756   88.837    0.000    0.000  169.272
0719   14.700  120.000    0.774   89.096    0.000    0.000  162.504
0724   15.000  132.000    0.793   89.356    0.000    0.000  171.216
0729   15.100  142.000    0.815   89.615    0.000    0.000  165.096
0734   15.600  154.000    0.837   89.874    0.000    0.000  157.392
0739   15.800  168.000    0.860   90.133    0.000    0.000  166.896
0744   15.900  178.000    0.884   90.393    0.000    0.000  172.152
0749   16.300  192.000    0.911   90.652    0.000    0.000  180.144
0754   16.700  206.000    0.938   90.911    0.000    0.000  169.992
0759   16.900  220.000    0.969   91.170    0.000    0.000  172.368
0804   17.200  230.000    1.002   91.430    0.000    0.000  170.784
0809   17.400  240.000    1.030   91.689    1.000    0.000  180.072
0814   17.600  262.000    1.060   91.948    1.000    0.000  181.224
0819   17.700  280.000    1.089   92.207    1.000    0.000  173.664
0824   17.900  286.000    1.119   92.467    1.000    0.000  170.928
0829   18.200  308.000    1.153   92.726    1.000    0.000  169.704
0834   18.400  324.000    1.186   92.985    1.000    0.000  202.752
0839   18.700  336.000    1.221   93.244    2.000    0.000  189.792
0844   19.200  350.000    1.255   93.504    2.000    0.000  190.368
0849   19.100  366.000    1.284   93.763    2.000    0.000  191.664
0854   19.200  376.000    1.310   94.022    2.000    0.000  205.704
0859   19.300  390.000    1.336   94.281    2.000    0.000  162.072
0900   20.300  400.000    1.363   67.000    2.000    0.000  148.464
0905   20.100  398.000    1.387   66.917    2.000    0.000  164.160
0910   20.100  414.000    1.408   66.833    2.000    0.000  160.416
0915   20.100  430.000    1.427   66.750    2.000    0.000  189.936
0920   20.100  440.000    1.443   66.667    2.000    0.000  159.048
0925   20.100  450.000    1.459   66.583    1.000    0.000  132.552
0930   20.400  462.000    1.474   66.500    1.000    0.000  125.352
0935   20.300  480.000    1.487   66.417    1.000    0.000  172.008
0940   20.400  510.000    1.505   66.333    1.000    0.000  160.344
0945   20.300  520.000    1.522   66.250    1.000    0.000  163.368
0950   20.400  526.000    1.540   66.167    1.000    0.000  169.992
0955   20.200  542.000    1.556   66.083    1.000    0.000  169.272
1000   20.300  554.000    1.575   66.000    1.000    0.000  167.328
1005   20.800  564.000    1.596   66.083    1.000    0.000  159.984
1010   20.600  578.000    1.619   66.167    1.000    0.000  124.344
1015   20.800  590.000    1.640   66.250    1.000    0.000  170.208
1020   20.400  600.000    1.658   66.333    1.000    0.000  154.944
1025   20.600  606.000    1.674   66.417    0.000    0.000  168.264
1030   20.400  624.000    1.692   66.500    0.000    0.000  169.920
1035   20.600  632.000    1.704   66.583    0.000    0.000  175.824
1040   20.600  644.000    1.714   66.667    0.000    0.000  174.888
1045   21.200  650.000    1.723   66.750    0.000    0.000  186.840
1050   20.700  658.000    1.734   66.833    0.000    0.000  192.816
1055   21.200  672.000    1.743   66.917    0.000    0.000  163.440
1100   20.400  690.000    1.751   67.000    0.000    0.000  158.688
1105   21.100  700.000    1.759   66.917    0.000    0.000  171.936
1110   21.100  708.000    1.766   66.833    0.000    0.000  198.792
1115   21.600  710.000    1.774   66.750    0.000    0.000  192.672
1120   21.400  722.000    1.776   66.667    0.000    0.000  159.552
1125   21.800  734.000    1.780   66.583    0.000    0.000  211.824
1130   21.200  740.000    1.787   66.500    0.000    0.000  170.352
1135   20.700  748.000    1.793   66.417    0.000    0.000  188.856
1140   21.400  762.000    1.798   66.333    0.000    0.000  203.760
1145   21.300  770.000    1.799   66.250    0.000    0.000  186.912
1150   21.500  772.000    1.796   66.167    0.000    0.000  155.232
1155   21.100  782.000    1.792   66.083    0.000    0.000  207.144
1200   21.500  790.000    1.781   66.000    0.000    0.000  201.384
1205   21.000  798.000    1.774   65.750    0.000    0.000  176.976
1210   21.700  802.000    1.771   65.500    0.000    0.000  189.216
1215   21.200  810.000    1.774   65.250    0.000    0.000  176.472
1220   21.300  820.000    1.775   65.000    0.000    0.000  152.496
1225   22.400  824.000    1.773   64.750    0.000    0.000  210.888
1230   21.500  830.000    1.770   64.500    0.000    0.000  190.584
1235   21.600  834.000    1.770   64.250    0.000    0.000  188.280
1240   21.900  840.000    1.770   64.000    0.000    0.000  219.600
1245   22.100  844.000    1.773   63.750    0.000    0.000  192.960
1250   21.800  848.000    1.775   63.500    0.000    0.000  153.576
1255   22.200  850.000    1.780   63.250    0.000    0.000  157.536
1300   22.200  850.000    1.784   63.000    0.000    0.000  161.136
1305   21.900  856.000    1.781   63.167    0.000    0.000  148.248
1310   21.800  862.000    1.781   63.333    0.000    0.000  184.176
1315   21.700  868.000    1.778   63.500    0.000    0.000  167.544
1320   21.800  872.000    1.779   63.667    0.000    0.000  172.584
1325   22.200  874.000    1.777   63.833    0.000    0.000  163.656
1330   21.900  876.000    1.774   64.000    0.000    0.000  189.936
1335   22.300  880.000    1.769   64.167    0.000    0.000  168.408
1340   22.400  880.000    1.764   64.333    0.000    0.000  163.728
1345   23.100  880.000    1.758   64.500    0.000    0.000  198.936
1350   22.800  880.000    1.754   64.667    0.000    0.000  170.928
1355   22.500  880.000    1.752   64.833    0.000    0.000  167.544
1400   22.700  880.000    1.751   65.000    0.000    0.000  171.072
1405   23.100  880.000    1.747   65.833    0.000    0.000  186.192
1410   22.800  880.000    1.745   66.667    0.000    0.000  153.792
1415   23.300  880.000    1.737   67.500    0.000    0.000  198.288
1420   22.900  880.000    1.731   68.333    0.000    0.000  147.168
1425   22.900  878.000    1.726   69.167    0.000    0.000  143.136
1430   23.900  874.000    1.719   70.000    0.000    0.000  139.464
1435   23.800  866.000    1.710   70.833    0.000    0.000  151.920
1440   23.600  860.000    1.702   71.667    0.000    0.000  201.744
1445   23.500  860.000    1.692   72.500    0.000    0.000  166.104
1450   23.400  860.000    1.677   73.333    0.000    0.000  189.072
1455   23.000  852.000    1.663   74.167    0.000    0.000  191.520
1500   23.300  850.000    1.647   75.000    0.000    0.000  196.344
1505   23.600  850.000    1.633   73.833    0.000    0.000  157.032
1510   23.800  842.000    1.623   72.667    0.000    0.000  227.088
1515   22.900  838.000    1.616   71.500    0.000    0.000  163.800
1520   23.300  832.000    1.608   70.333    0.000    0.000  188.784
1525   23.300  828.000    1.603   69.167    0.000    0.000  144.936
1530   23.700  820.000    1.599   68.000    0.000    0.000  166.032
1535   23.200  814.000    1.591   66.833    0.000    0.000  175.896
1540   23.300  808.000    1.581   65.667    0.000    0.000  162.648
1545   23.800  802.000    1.572   64.500    0.000    0.000  199.008
1550   23.700  798.000    1.564   63.333    0.000    0.000  190.584
1555   23.900  788.000    1.555   62.167    0.000    0.000  190.368
1600   23.700  780.000    1.545   61.000    0.000    0.000  164.880
1605   24.000  772.000    1.534   59.000    0.000    0.000  186.984
1610   23.800  766.000    1.520   57.000    0.000    0.000  176.328
1615   24.100  758.000    1.503   55.000    0.000    0.000  176.472
1620   24.200  750.000    1.486   53.000    0.000    0.000  156.672
1625   24.200  744.000    1.469   51.000    0.000    0.000  187.560
1630   24.300  738.000    1.456   49.000    0.000    0.000  218.592
1635   24.700  714.000    1.441   47.000    0.000    0.000  154.944
1640   24.400  708.000    1.427   45.000    0.000    0.000  158.256
1645   24.400  700.000    1.410   43.000    0.000    0.000  151.488
1650   24.600  692.000    1.395   41.000    0.000    0.000  192.240
1655   24.800  684.000    1.379   39.000    0.000    0.000  220.176
1700   25.000  674.000    1.365   37.000    0.000    0.000  156.744
1705   24.400  662.000    1.351   37.083    0.000    0.000  193.032
1710   24.000  650.000    1.341   37.167    0.000    0.000  183.456
1715   24.000  640.000    1.328   37.250    0.000    0.000  163.080
1720   24.600  626.000    1.311   37.333    0.000    0.000  164.232
1725   24.300  618.000    1.294   37.417    0.000    0.000  177.480
1730   24.400  604.000    1.279   37.500    0.000    0.000  173.592
1735   24.200  594.000    1.260   37.583    0.000    0.000  215.928
1740   24.700  582.000    1.241   37.667    0.000    0.000  139.176
1745   24.700  568.000    1.219   37.750    0.000    0.000  184.608
1750   24.800  552.000    1.195   37.833    0.000    0.000  180.360
1755   24.600  542.000    1.169   37.917    0.000    0.000  194.112
1800   24.400  530.000    1.143   38.000    0.000    0.000  196.344
1805   24.200  516.000    1.113   38.417    0.000    0.000  194.256
1810   25.100  502.000    1.087   38.833    0.000    0.000  179.784
1815   24.300  488.000    1.063   39.250    0.000    0.000  176.976
1820   24.300  474.000    1.039   39.667    0.000    0.000  168.840
1825   24.700  460.000    1.015   40.083    0.000    0.000  204.768
1830   24.400  444.000    0.990   40.500    0.000    0.000  201.168
1835   24.100  434.000    0.963   40.917    0.000    0.000  223.200
1840   23.900  418.000    0.934   41.333    0.000    0.000  185.760
1845   23.800  400.000    0.905   41.750    0.000    0.000  201.528
1850   23.700  386.000    0.877   42.167    0.000    0.000  178.632
1855   23.900  374.000    0.849   42.583    0.000    0.000  190.152
1900   23.900  358.000    0.821   43.000    0.000    0.000  209.448
